code barre 1 ou bien Qr code  article,code barre 2 ou bien Qr code article,code Article  OF,code article résumé,gamme,designation,qte unit,qte reg,redondance,controle
8012542053958,1,FD03DDA80001,430C4X00,HTI 30mA 16kA,4x100A,1,0,1,c
8012542053958,2,FD03DDA80002,430C4X80,HTI 30mA 16kA,4x80A,1,0,1,c
8012542053958,3,FD03DDA80003,430C4X080,HTI 30mA 25kA,4x80A,1,0,1,c
8012542053958,4,FD03DDA80004,430C4X100,HTI 30mA 25kA,4x100A,1,0,1,c
8012542373650,null,FD03DS1C0001,937C2X16,DP60  30mA,2X16A,0,6,1,c
8012542373759,null,FD03DS1C0002,937C2X20,DP60  30mA,2X20A,0,6,1,c
8012542373858,null,FD03DS1C0003,937C2X25,DP60  30mA,2X25A,0,6,1,c
8012542373957,null,FD03DS1C0004,937C2X32,DP60  30mA,2X32A,0,6,1,c
8012542373551,null,FD03DS1C0005,937C2X10,DP60  30mA,2X10A,0,6,1,c
8012542421658,FSB1060B0002,FD03SB1B0001,932B2X10,EP60 30mA,2X10A,1,3,1,c
8012542348856,FSB1060B0004,FD03SB1B0002,932B4X10,EP60 30mA,4X10A,1,2,1,c
8012542421658,FSB1060B0006,FD03SB1B0003,932B2X16,EP60 30mA,2X16A,1,3,1,c
8012542348856,FSB1060B0008,FD03SB1B0004,932B4X16,EP60 30mA,4X16A,1,2,1,c
8012542421658,FSB1060B0010,FD03SB1B0005,932B2X20,EP60 30mA,2X20A,1,3,1,c
8012542348856,FSB1060B0012,FD03SB1B0006,932B4X20,EP60 30mA,4X20A,1,2,1,c
8012542421658,FSB1060B0014,FD03SB1B0007,932B2X25,EP60 30mA,2X25A,1,3,1,c
8012542348856,FSB1060B0016,FD03SB1B0008,932B4X25,EP60 30mA,4X25A,1,2,1,c
8012542421658,FSB1060B0018,FD03SB1B0009,932B2X32,EP60 30mA,2X32A,1,3,1,c
8012542348856,FSB1060B0020,FD03SB1B0010,932B4X32,EP60 30mA,4X32A,1,2,1,c
8012542421658,FSB1060B0022,FD03SB1B0011,932B2X40,EP60 30mA,2X40A,1,3,1,c
8012542422259,FSB1060B0024,FD03SB1B0012,932B4X40,EP60 30mA,4X40A,1,1,1,c
8012542421856,FSB1060B0033,FD03SB1B0013,932B2X50,EP60 30mA,2X50A,1,3,1,c
8012542422259,FSB1060B0034,FD03SB1B0014,932B4X50,EP60 30mA,4X50A,1,1,1,c
8012542421856,FSB1060B0035,FD03SB1B0015,932B2X63,EP60 30mA,2X63A,1,3,1,c
8012542422259,FSB1060B0036,FD03SB1B0016,932B4X63,EP60 30mA,4X63A,1,1,1,c
8012542421658,FSB1060C0002,FD03SB1C0001,932C2X10,EP60 30mA,2X10A,1,3,1,c
8012542348856,FSB1060C0004,FD03SB1C0002,932C4X10,EP60 30mA,4X10A,1,2,1,c
8012542421658,FSB1060C0006,FD03SB1C0003,932C2X16,EP60 30mA,2X16A,1,3,1,c
8012542348856,FSB1060C0008,FD03SB1C0004,932C4X16,EP60 30mA,4X16A,1,2,1,c
8012542421658,FSB1060C0010,FD03SB1C0005,932C2X20,EP60 30mA,2X20A,1,3,1,c
8012542348856,FSB1060C0012,FD03SB1C0006,932C4X20,EP60 30mA,4X20A,1,2,1,c
8012542421658,FSB1060C0014,FD03SB1C0007,932C2X25,EP60 30mA,2X25A,1,3,1,c
8012542348856,FSB1060C0016,FD03SB1C0008,932C4X25,EP60 30mA,4X25A,1,2,1,c
8012542421658,FSB1060C0018,FD03SB1C0009,932C2X32,EP60 30mA,2X32A,1,3,1,c
8012542348856,FSB1060C0020,FD03SB1C0010,932C4X32,EP60 30mA,4X32A,1,2,1,c
8012542421658,FSB1060C0022,FD03SB1C0011,932C2X40,EP60 30mA,2X40A,1,3,1,c
8012542422259,FSB1060C0024,FD03SB1C0012,932C4X40,EP60 30mA,4X40A,1,1,1,c
8012542421856,FSB1060C0033,FD03SB1C0013,932C2X50,EP60 30mA,2X50A,1,3,1,c
8012542422259,FSB1060C0034,FD03SB1C0014,932C4X50,EP60 30mA,4X50A,1,1,1,c
8012542421856,FSB1060C0035,FD03SB1C0015,932C2X63,EP60 30mA,2X63A,1,3,1,c
8012542422259,FSB1060C0036,FD03SB1C0016,932C4X63,EP60 30mA,4X63A,1,1,1,c
8012542421658,FSB1060D0002,FD03SB1D0001,932D2X10,EP60 30mA,2X10A,1,3,1,c
8012542348856,FSB1060D0004,FD03SB1D0002,932D4X10,EP60 30mA,4X10A,1,2,1,c
8012542421658,FSB1060D0006,FD03SB1D0003,932D2X16,EP60 30mA,2X16A,1,3,1,c
8012542348856,FSB1060C0008,FD03SB1D0004,932D4X16,EP60 30mA,4X16A,1,2,1,c
8012542421658,FSB1060C0010,FD03SB1D0005,932D2X20,EP60 30mA,2X20A,1,3,1,c
8012542348856,FSB1060C0012,FD03SB1D0006,932D4X20,EP60 30mA,4X20A,1,2,1,c
8012542421658,FSB1060C0014,FD03SB1D0007,932D2X25,EP60 30mA,2X25A,1,3,1,c
