code,resume,gamme,des,qte_u,qte_reg,des,contrôle
FD03DDA80001,430C4X00,HTI 30mA 16kA,4x100A,1,0,DIFF HTI CC 4X100 16kA 030MA,c
FD03DDA80002,430C4X80,HTI 30mA 16kA,4x80A,1,0,DIFF HTI CC 4X80 16kA 030MA,c
FD03DDA80003,430C4X080,HTI 30mA 25kA,4x80A,1,0,DIFF HTI CC 4X80 25kA 030MA,c
FD03DDA80004,430C4X100,HTI 30mA 25kA,4x100A,1,0,DIFF HTI CC 4X100 25kA 030MA,c
FD03DS1C0001,937C2X16,DP60  30mA,2X16A,0,6,DISJ. DIFF MONOB. 2M DP60 2x16 30MA 6KA C,c
FD03DS1C0002,937C2X20,DP60  30mA,2X20A,0,6,DISJ. DIFF MONOB. 2M DP60 2x20 30MA 6KA C,c
FD03DS1C0003,937C2X25,DP60  30mA,2X25A,0,6,DISJ. DIFF MONOB. 2M DP60 2x25 30MA 6KA C,c
FD03DS1C0004,937C2X32,DP60  30mA,2X32A,0,6,DISJ. DIFF MONOB. 2M DP60 2x32 30MA 6KA C,c
FD03DS1C0005,937C2X10,DP60  30mA,2X10A,0,6,DISJ. DIFF MONOB. 2M DP60 2x10 30MA 6KA C,c
FD03SB1B0001,932B2X10,EP60 30mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 06KA CB 4M 30mA,c
FD03SB1B0002,932B4X10,EP60 30mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 06KA CB 6M 30mA,c
FD03SB1B0003,932B2X16,EP60 30mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 06KA CB 4M 30mA,c
FD03SB1B0004,932B4X16,EP60 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 06KA CB 6M 30mA,c
FD03SB1B0005,932B2X20,EP60 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 06KA CB 4M 30mA,c
FD03SB1B0006,932B4X20,EP60 30mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 06KA CB 6M 30mA,c
FD03SB1B0007,932B2X25,EP60 30mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 06KA CB 4M 30mA,c
FD03SB1B0008,932B4X25,EP60 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 06KA CB 6M 30mA,c
FD03SB1B0009,932B2X32,EP60 30mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 06KA CB 4M 30mA,c
FD03SB1B0010,932B4X32,EP60 30mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 06KA CB 6M 30mA,c
FD03SB1B0011,932B2X40,EP60 30mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 06KA CB 4M 30mA,c
FD03SB1B0012,932B4X40,EP60 30mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 06KA CB 8M 30mA,c
FD03SB1B0013,932B2X50,EP60 30mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 06KA CB 4M 30mA,c
FD03SB1B0014,932B4X50,EP60 30mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 06KA CB 8M 30mA,c
FD03SB1B0015,932B2X63,EP60 30mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 06KA CB 4M 30mA,c
FD03SB1B0016,932B4X63,EP60 30mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 06KA CB 8M 30mA,c
FD03SB1C0001,932C2X10,EP60 30mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 6KA CC 4M 30mA,c
FD03SB1C0002,932C4X10,EP60 30mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 6KA CC 6M 30mA,c
FD03SB1C0003,932C2X16,EP60 30mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 6KA CC 4M 30mA,c
FD03SB1C0004,932C4X16,EP60 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 6KA CC 6M 30mA,c
FD03SB1C0005,932C2X20,EP60 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 6KA CC 4M 30mA,c
FD03SB1C0006,932C4X20,EP60 30mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 6KA CC 6M 30mA,c
FD03SB1C0007,932C2X25,EP60 30mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 6KA CC 4M 30mA,c
FD03SB1C0008,932C4X25,EP60 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 6KA CC 6M 30mA,c
FD03SB1C0009,932C2X32,EP60 30mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 6KA CC 4M 30mA,c
FD03SB1C0010,932C4X32,EP60 30mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 6KA CC 6M 30mA,c
FD03SB1C0011,932C2X40,EP60 30mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 6KA CC 4M 30mA,c
FD03SB1C0012,932C4X40,EP60 30mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 6KA CC 8M 30mA,c
FD03SB1C0013,932C2X50,EP60 30mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 6KA CC 4M 30mA,c
FD03SB1C0014,932C4X50,EP60 30mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 6KA CC 8M 30mA,c
FD03SB1C0015,932C2X63,EP60 30mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 6KA CC 4M 30mA,c
FD03SB1C0016,932C4X63,EP60 30mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 6KA CC 8M 30mA,c
FD03SB1D0001,932D2X10,EP60 30mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 06KA CD 4M 30mA,c
FD03SB1D0002,932D4X10,EP60 30mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 06KA CD 6M 30mA,c
FD03SB1D0003,932D2X16,EP60 30mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 06KA CD 4M 30mA,c
FD03SB1D0004,932D4X16,EP60 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 06KA CD 6M 30mA,c
FD03SB1D0005,932D2X20,EP60 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 06KA CD 4M 30mA,c
FD03SB1D0006,932D4X20,EP60 30mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 06KA CD 6M 30mA,c
FD03SB1D0007,932D2X25,EP60 30mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 06KA CD 4M 30mA,c
FD03SB1D0008,932D4X25,EP60 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 06KA CD 6M 30mA,c
FD03SB1D0009,932D2X32,EP60 30mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 06KA CD 4M 30mA,c
FD03SB1D0010,932D4X32,EP60 30mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 06KA CD 6M 30mA,c
FD03SB1D0011,932D2X40,EP60 30mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 06KA CD 4M 30mA,c
FD03SB1D0012,932D4X40,EP60 30mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 06KA CD 8M 30mA,c
FD03SB1D0013,932D2X50,EP60 30mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 06KA CD 4M 30mA,c
FD03SB1D0014,932D4X50,EP60 30mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 06KA CD 8M 30mA,c
FD03SB1D0015,932D2X63,EP60 30mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 06KA CD 4M 30mA,c
FD03SB1D0016,932D4X63,EP60 30mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 06KA CD 8M 30mA,c
FD03SB2C0001,933C2X10,EP100 30mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP100 10KA CC 4M 30mA,c
FD03SB2C0002,933C4X10,EP100 30mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP100 10KA CC 6M 30mA,c
FD03SB2C0003,933C2X16,EP100 30mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP100 10KA CC 4M 30mA,c
FD03SB2C0004,933C4X16,EP100 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP100 10KA CC 6M 30mA,c
FD03SB2C0005,933C2X20,EP100 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP100 10KA CC 4M 30mA,c
FD03SB2C0006,933C4X20,EP100 30mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP100 10KA CC 6M 30mA,c
